t,failure,success,charging,skip
0,0,0,0,1000
1,0,0,0,1000
2,0,0,0,1000
3,0,0,0,1000
4,0,0,0,1000
5,0,0,0,1000
6,0,0,0,1000
7,6,87,87,913
8,5,64,151,849
9,2,16,166,834
10,3,15,181,819
11,6,21,202,798
12,2,23,225,775
13,0,27,251,749
14,2,32,195,805
15,3,24,216,784
16,2,24,166,834
17,2,23,179,821
18,3,29,185,815
19,0,19,183,817
20,1,20,176,824
21,2,20,172,828
22,4,20,165,835
23,2,19,158,842
24,2,22,157,843
25,0,27,159,841
26,0,20,152,848
27,0,23,159,841
28,0,21,161,839
29,1,26,167,833
30,2,16,158,842
31,0,28,167,833
32,0,28,173,827
33,2,22,170,830
34,0,31,184,816
35,2,24,182,818
36,5,21,183,817
37,2,23,180,820
38,2,24,181,819
39,1,20,176,824
40,1,31,185,815
41,1,23,179,821
42,1,25,176,824
43,2,21,176,824
44,0,19,169,831
45,3,16,160,840
46,0,24,165,835
47,0,22,158,842
48,0,20,158,842
49,0,24,158,842
50,4,23,157,843
51,3,23,161,839
52,1,29,170,830
53,3,20,170,830
54,1,23,174,826
55,2,30,180,820
56,1,25,184,816
57,0,30,188,812
58,1,23,186,814
59,4,23,185,815
60,0,25,188,812
61,0,28,191,809
62,3,23,186,814
63,2,20,179,821
64,4,21,173,827
65,0,18,165,835
66,0,26,167,833
67,2,22,167,833
68,0,24,161,839
69,0,28,171,829
70,0,16,160,840
71,2,19,162,838
72,2,22,165,835
73,0,23,160,840
74,3,24,162,838
75,3,20,157,843
76,1,23,158,842
77,0,24,160,840
78,3,25,170,830
79,0,24,172,828
80,5,11,159,841
81,4,15,151,849
82,3,25,153,847
83,2,22,157,843
84,0,16,145,855
85,0,23,145,855
86,0,15,135,865
87,2,33,154,846
88,3,23,164,836
89,5,27,173,827
90,1,35,182,818
91,0,27,188,812
92,0,31,197,803
93,1,14,193,807
94,0,24,194,806
95,1,25,194,806
96,2,27,191,809
97,0,18,187,813
98,0,21,175,825
99,0,17,160,840
100,3,24,159,841
101,0,22,161,839
102,1,30,164,836
103,0,25,167,833
104,1,22,170,830
105,2,24,171,829
106,3,23,179,821
107,3,21,176,824
108,2,24,174,826
109,0,21,172,828
110,3,18,162,838
111,2,19,160,840
112,2,27,163,837
113,3,34,170,830
114,1,29,180,820
115,3,30,184,816
116,1,27,192,808
117,1,24,200,800
118,4,15,190,810
119,0,19,185,815
120,2,21,181,819
121,0,24,173,827
122,1,25,167,833
123,2,22,155,845
124,4,17,151,849
125,1,27,162,838
126,3,18,159,841
127,2,34,174,826
128,1,23,171,829
129,2,24,173,827
130,1,24,173,827
131,2,25,179,821
132,2,23,178,822
133,4,27,186,814
134,2,19,183,817
135,1,20,171,829
136,0,21,169,831
137,1,17,163,837
138,0,25,164,836
139,0,23,161,839
140,2,25,162,838
141,2,24,163,837
142,5,22,170,830
143,1,20,167,833
144,1,22,168,832
145,0,20,164,836
146,3,31,173,827
147,5,18,164,836
148,2,26,164,836
149,0,22,168,832
150,3,17,165,835
151,2,19,164,836
152,2,18,159,841
153,3,25,159,841
154,2,19,150,850
155,2,23,149,851
156,2,24,157,843
157,0,21,156,844
158,3,25,166,834
159,2,18,159,841
160,3,21,163,837
161,0,19,157,843
162,1,23,162,838
163,5,32,171,829
164,1,25,168,832
165,1,20,169,831
166,6,24,168,832
167,0,16,167,833
168,0,16,162,838
169,0,25,164,836
170,2,22,157,843
171,6,16,146,854
172,1,25,150,850
173,2,20,146,854
174,2,16,144,856
175,1,20,150,850
176,6,25,151,849
177,2,21,153,847
178,2,30,162,838
179,1,15,156,844
180,1,27,162,838
181,1,29,176,824
182,5,10,167,833
183,4,21,162,838
184,4,21,165,835
185,1,25,162,838
186,1,17,156,844
187,3,30,163,837
188,2,24,157,843
189,1,14,154,846
190,1,22,164,836
191,3,26,169,831
192,3,16,157,843
193,5,28,167,833
194,0,23,163,837
195,0,27,166,834
196,1,20,168,832
197,5,24,175,825
198,0,26,170,830
199,1,16,169,831
200,0,21,165,835
201,1,20,167,833
202,0,23,156,844
203,2,24,163,837
204,1,25,161,839
205,1,19,159,841
206,6,21,162,838
207,1,32,175,825
208,1,24,176,824
209,5,19,172,828
210,0,23,173,827
211,1,22,170,830
212,1,27,173,827
213,2,19,169,831
214,1,29,170,830
215,4,23,174,826
216,0,20,169,831
217,1,27,180,820
218,3,15,167,833
219,1,17,158,842
220,1,21,160,840
221,4,23,161,839
222,1,24,154,846
223,0,17,151,849
224,1,24,151,849
225,4,20,156,844
226,2,23,160,840
227,0,27,167,833
228,6,21,163,837
229,0,27,167,833
230,1,28,174,826
231,0,20,177,823
