i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,3,0.443012,0.420816,0.325404,0.320697,0.154453
1,23,0.207433,0.620909,0.076975,0.605896,0.131319
10,13,0.494972,0.627195,0.640910,0.582528,0.152621
13,24,0.640910,0.582528,0.475027,0.637603,0.174787
19,26,0.476036,0.749084,0.402786,0.904536,0.171845
2,13,0.592003,0.710694,0.640910,0.582528,0.137180
2,24,0.592003,0.710694,0.475027,0.637603,0.137933
2,9,0.592003,0.710694,0.646666,0.590314,0.132210
20,25,0.206135,0.279482,0.077905,0.391636,0.170357
21,28,0.032933,0.841925,0.195006,0.885202,0.167751
3,22,0.325404,0.320697,0.443012,0.420816,0.154453
3,27,0.325404,0.320697,0.364667,0.167891,0.157770
3,7,0.325404,0.320697,0.364667,0.167891,0.157770
8,28,0.032933,0.841925,0.195006,0.885202,0.167751
9,10,0.646666,0.590314,0.494972,0.627195,0.156113
9,24,0.646666,0.590314,0.475027,0.637603,0.178034
