i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
1,14,0.664272,0.138191,0.775891,0.036275,0.151148
1,28,0.664272,0.138191,0.775891,0.036275,0.151148
13,25,0.205813,0.075178,0.022733,0.117164,0.187833
17,19,0.044673,0.456041,0.114201,0.298206,0.172471
2,14,0.621318,0.107250,0.775891,0.036275,0.170089
2,28,0.621318,0.107250,0.775891,0.036275,0.170089
20,24,0.186290,0.839938,0.351858,0.913766,0.181282
3,6,0.661955,0.583697,0.602142,0.433919,0.161280
5,12,0.873476,0.583121,0.728618,0.684254,0.176668
6,29,0.602142,0.433919,0.661955,0.583697,0.161280
7,10,0.927728,0.700676,0.774506,0.656061,0.159585
9,24,0.186290,0.839938,0.351858,0.913766,0.181282
