i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
1,8,0.022410,0.146853,0.031829,0.049071,0.098234
10,24,0.807398,0.310553,0.843054,0.230881,0.087287
11,24,0.771955,0.358063,0.843054,0.230881,0.145706
12,24,0.989441,0.225451,0.843054,0.230881,0.146487
13,19,0.411517,0.852264,0.306187,0.815602,0.111529
15,21,0.238309,0.379517,0.106842,0.408753,0.134678
15,25,0.238309,0.379517,0.220266,0.305074,0.076599
18,25,0.269625,0.141371,0.220266,0.305074,0.170982
18,29,0.269625,0.141371,0.321813,0.037704,0.116062
2,20,0.846087,0.935547,0.702307,0.920989,0.144515
2,6,0.846087,0.935547,0.702307,0.920989,0.144515
21,25,0.106842,0.408753,0.220266,0.305074,0.153670
22,25,0.269625,0.141371,0.220266,0.305074,0.170982
22,29,0.269625,0.141371,0.321813,0.037704,0.116062
23,27,0.071203,0.627291,0.117914,0.685188,0.074391
3,19,0.176662,0.881718,0.306187,0.815602,0.145424
3,26,0.176662,0.881718,0.059188,0.895852,0.118322
4,15,0.365131,0.510492,0.238309,0.379517,0.182313
5,14,0.885179,0.539639,0.924396,0.633676,0.101887
5,9,0.885179,0.539639,0.852451,0.471678,0.075432
7,13,0.396871,0.782577,0.411517,0.852264,0.071210
7,19,0.396871,0.782577,0.306187,0.815602,0.096510
9,10,0.852451,0.471678,0.807398,0.310553,0.167305
9,11,0.852451,0.471678,0.771955,0.358063,0.139241
9,14,0.852451,0.471678,0.924396,0.633676,0.177256
