i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,116,0.325539,0.392953,0.319434,0.455027,0.062373
0,118,0.325539,0.392953,0.285489,0.443960,0.064851
0,5,0.325539,0.392953,0.315342,0.429860,0.038290
0,88,0.325539,0.392953,0.299285,0.382506,0.028256
1,124,0.984827,0.764308,0.946000,0.816365,0.064941
10,58,0.093338,0.442970,0.152825,0.476368,0.068221
10,73,0.093338,0.442970,0.116019,0.386868,0.060514
10,94,0.093338,0.442970,0.098958,0.423345,0.020415
100,136,0.470535,0.660915,0.509785,0.641920,0.043605
101,115,0.297236,0.933319,0.259991,0.895329,0.053201
102,132,0.780671,0.063434,0.809016,0.015809,0.055422
104,114,0.720790,0.408570,0.697791,0.455240,0.052030
106,122,0.465351,0.864778,0.422229,0.841681,0.048918
107,108,0.144376,0.291608,0.088766,0.249990,0.069459
107,121,0.144376,0.291608,0.147759,0.264390,0.027427
108,121,0.088766,0.249990,0.147759,0.264390,0.060725
109,117,0.450367,0.399271,0.395412,0.401685,0.055008
109,141,0.450367,0.399271,0.471268,0.451888,0.056616
11,123,0.198079,0.628221,0.178034,0.674852,0.050757
11,135,0.198079,0.628221,0.202508,0.677461,0.049438
11,139,0.198079,0.628221,0.227456,0.631853,0.029601
11,53,0.198079,0.628221,0.222376,0.600247,0.037053
112,128,0.036120,0.640504,0.011454,0.662552,0.033084
116,118,0.319434,0.455027,0.285489,0.443960,0.035703
119,134,0.379763,0.198770,0.387403,0.149728,0.049633
119,147,0.379763,0.198770,0.356654,0.226853,0.036369
12,19,0.898222,0.619693,0.895933,0.578373,0.041383
12,83,0.898222,0.619693,0.854409,0.652756,0.054889
123,135,0.178034,0.674852,0.202508,0.677461,0.024613
123,139,0.178034,0.674852,0.227456,0.631853,0.065509
125,139,0.279872,0.591370,0.227456,0.631853,0.066229
13,127,0.457276,0.190644,0.460431,0.242351,0.051804
13,33,0.457276,0.190644,0.477822,0.203735,0.024363
13,77,0.457276,0.190644,0.404496,0.182923,0.053342
13,82,0.457276,0.190644,0.410799,0.224630,0.057577
133,146,0.191893,0.110205,0.181134,0.108451,0.010901
135,139,0.202508,0.677461,0.227456,0.631853,0.051985
14,109,0.405776,0.391540,0.450367,0.399271,0.045256
14,117,0.405776,0.391540,0.395412,0.401685,0.014503
14,28,0.405776,0.391540,0.377760,0.331679,0.066093
14,78,0.405776,0.391540,0.414821,0.356902,0.035800
15,143,0.615631,0.279789,0.670008,0.252370,0.060899
15,52,0.615631,0.279789,0.579692,0.255532,0.043359
15,80,0.615631,0.279789,0.601763,0.346497,0.068135
16,86,0.979691,0.355210,0.977843,0.314533,0.040719
17,117,0.411841,0.466457,0.395412,0.401685,0.066823
17,141,0.411841,0.466457,0.471268,0.451888,0.061187
18,110,0.745671,0.141718,0.726616,0.164277,0.029530
18,79,0.745671,0.141718,0.682891,0.159209,0.065172
