i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
10,18,0.368064,0.380097,0.398048,0.547067,0.169641
13,18,0.368064,0.380097,0.398048,0.547067,0.169641
14,15,0.774875,0.957768,0.607177,0.961316,0.167735
16,27,0.351508,0.587935,0.184686,0.596151,0.167024
2,28,0.461046,0.639102,0.289259,0.625718,0.172307
5,29,0.653292,0.482014,0.774414,0.336185,0.189569
6,27,0.241350,0.743193,0.184686,0.596151,0.157583
8,9,0.480773,0.285166,0.366669,0.392002,0.156312
9,18,0.366669,0.392002,0.398048,0.547067,0.158209
9,20,0.366669,0.392002,0.436594,0.254366,0.154380
9,21,0.366669,0.392002,0.365605,0.233986,0.158019
