i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
1,3,0.354973,0.575713,0.354009,0.741020,0.165310
10,21,0.698350,0.268887,0.576417,0.151501,0.169254
10,25,0.698350,0.268887,0.516472,0.302766,0.185007
10,28,0.698350,0.268887,0.591906,0.112555,0.189129
14,18,0.152402,0.462112,0.119814,0.278265,0.186713
15,23,0.695183,0.377780,0.803116,0.518821,0.177601
15,29,0.695183,0.377780,0.788820,0.527511,0.176599
2,12,0.400445,0.352182,0.340974,0.528129,0.185726
2,22,0.400445,0.352182,0.340974,0.528129,0.185726
21,25,0.576417,0.151501,0.516472,0.302766,0.162710
6,25,0.681435,0.349465,0.516472,0.302766,0.171446
