i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
10,16,0.323155,0.652091,0.167046,0.750524,0.184551
10,19,0.323155,0.652091,0.167046,0.750524,0.184551
10,27,0.323155,0.652091,0.434048,0.521172,0.171572
11,14,0.878175,0.997445,0.818718,0.822211,0.185047
11,18,0.878175,0.997445,0.733047,0.906351,0.171349
11,22,0.878175,0.997445,0.818718,0.822211,0.185047
12,23,0.186606,0.822889,0.013155,0.808715,0.174029
13,14,0.878175,0.997445,0.818718,0.822211,0.185047
13,18,0.878175,0.997445,0.733047,0.906351,0.171349
13,22,0.878175,0.997445,0.818718,0.822211,0.185047
14,24,0.818718,0.822211,0.989488,0.896449,0.186209
15,20,0.147759,0.264390,0.318504,0.316198,0.178432
16,21,0.167046,0.750524,0.222376,0.600247,0.160139
16,23,0.167046,0.750524,0.013155,0.808715,0.164525
19,21,0.167046,0.750524,0.222376,0.600247,0.160139
19,23,0.167046,0.750524,0.013155,0.808715,0.164525
22,24,0.818718,0.822211,0.989488,0.896449,0.186209
4,6,0.854583,0.435067,0.725493,0.314034,0.176956
6,17,0.725493,0.314034,0.786605,0.466577,0.164329
7,29,0.574083,0.339884,0.720790,0.408570,0.161990
7,8,0.574083,0.339884,0.720790,0.408570,0.161990
9,20,0.411841,0.466457,0.318504,0.316198,0.176889
