i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,29,0.752398,0.391166,0.774760,0.555492,0.165840
10,12,0.543532,0.675642,0.700650,0.769580,0.183059
10,15,0.543532,0.675642,0.700650,0.769580,0.183059
10,18,0.543532,0.675642,0.641712,0.787656,0.148951
10,25,0.543532,0.675642,0.684174,0.758717,0.163345
12,16,0.700650,0.769580,0.715567,0.943351,0.174409
12,26,0.700650,0.769580,0.763308,0.841083,0.095072
12,28,0.700650,0.769580,0.737588,0.607942,0.165805
14,19,0.389327,0.168077,0.221362,0.150022,0.168933
14,27,0.389327,0.168077,0.292356,0.109861,0.113103
15,16,0.700650,0.769580,0.715567,0.943351,0.174409
15,26,0.700650,0.769580,0.763308,0.841083,0.095072
15,28,0.700650,0.769580,0.737588,0.607942,0.165805
16,18,0.715567,0.943351,0.641712,0.787656,0.172324
16,25,0.715567,0.943351,0.684174,0.758717,0.187283
16,26,0.715567,0.943351,0.763308,0.841083,0.112862
17,19,0.037329,0.142321,0.221362,0.150022,0.184194
17,23,0.037329,0.142321,0.062173,0.075106,0.071659
18,20,0.641712,0.787656,0.763178,0.751617,0.126699
18,26,0.641712,0.787656,0.763308,0.841083,0.132816
19,23,0.221362,0.150022,0.062173,0.075106,0.175936
19,27,0.221362,0.150022,0.292356,0.109861,0.081567
2,26,0.690983,0.992735,0.763308,0.841083,0.168015
2,9,0.690983,0.992735,0.763308,0.841083,0.168015
20,25,0.763178,0.751617,0.684174,0.758717,0.079322
20,26,0.763178,0.751617,0.763308,0.841083,0.089466
20,28,0.763178,0.751617,0.737588,0.607942,0.145936
21,29,0.688665,0.399020,0.774760,0.555492,0.178594
24,26,0.924809,0.926629,0.763308,0.841083,0.182758
25,26,0.684174,0.758717,0.763308,0.841083,0.114221
25,28,0.684174,0.758717,0.737588,0.607942,0.159956
4,22,0.358379,0.518756,0.408355,0.399655,0.129161
6,26,0.924809,0.926629,0.763308,0.841083,0.182758
6,9,0.924809,0.926629,0.763308,0.841083,0.182758
8,10,0.606229,0.536148,0.543532,0.675642,0.152935
8,21,0.606229,0.536148,0.688665,0.399020,0.160000
8,28,0.606229,0.536148,0.737588,0.607942,0.149698
8,29,0.606229,0.536148,0.774760,0.555492,0.169638
9,12,0.763308,0.841083,0.700650,0.769580,0.095072
9,15,0.763308,0.841083,0.700650,0.769580,0.095072
9,16,0.763308,0.841083,0.715567,0.943351,0.112862
9,18,0.763308,0.841083,0.641712,0.787656,0.132816
9,20,0.763308,0.841083,0.763178,0.751617,0.089466
9,24,0.763308,0.841083,0.924809,0.926629,0.182758
9,25,0.763308,0.841083,0.684174,0.758717,0.114221
