i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,2,0.263624,0.891208,0.338220,0.801715,0.116505
0,21,0.263624,0.891208,0.367636,0.763742,0.164517
0,24,0.263624,0.891208,0.243270,0.747917,0.144729
0,28,0.263624,0.891208,0.310071,0.735554,0.162436
0,6,0.263624,0.891208,0.243270,0.747917,0.144729
0,7,0.263624,0.891208,0.338220,0.801715,0.116505
11,23,0.598377,0.317972,0.569431,0.487020,0.171508
13,18,0.909186,0.884963,0.914382,0.741265,0.143791
13,22,0.909186,0.884963,0.915861,0.743738,0.141382
14,23,0.603851,0.621038,0.569431,0.487020,0.138368
15,17,0.927679,0.513465,0.995476,0.675532,0.175676
16,20,0.357183,0.701304,0.225296,0.836393,0.188795
16,24,0.357183,0.701304,0.243270,0.747917,0.123081
17,18,0.995476,0.675532,0.914382,0.741265,0.104389
17,22,0.995476,0.675532,0.915861,0.743738,0.104836
2,16,0.338220,0.801715,0.357183,0.701304,0.102186
2,20,0.338220,0.801715,0.225296,0.836393,0.118129
2,24,0.338220,0.801715,0.243270,0.747917,0.109132
2,25,0.338220,0.801715,0.263624,0.891208,0.116505
2,26,0.338220,0.801715,0.496473,0.835235,0.161764
2,3,0.338220,0.801715,0.496473,0.835235,0.161764
2,6,0.338220,0.801715,0.243270,0.747917,0.109132
20,21,0.225296,0.836393,0.367636,0.763742,0.159809
20,28,0.225296,0.836393,0.310071,0.735554,0.131740
21,24,0.367636,0.763742,0.243270,0.747917,0.125369
21,25,0.367636,0.763742,0.263624,0.891208,0.164517
21,26,0.367636,0.763742,0.496473,0.835235,0.147345
24,25,0.243270,0.747917,0.263624,0.891208,0.144729
25,28,0.263624,0.891208,0.310071,0.735554,0.162436
3,21,0.496473,0.835235,0.367636,0.763742,0.147345
3,7,0.496473,0.835235,0.338220,0.801715,0.161764
4,24,0.123789,0.600805,0.243270,0.747917,0.189519
4,27,0.123789,0.600805,0.224086,0.545982,0.114302
4,6,0.123789,0.600805,0.243270,0.747917,0.189519
5,27,0.044687,0.557442,0.224086,0.545982,0.179764
6,16,0.243270,0.747917,0.357183,0.701304,0.123081
6,21,0.243270,0.747917,0.367636,0.763742,0.125369
6,25,0.243270,0.747917,0.263624,0.891208,0.144729
6,7,0.243270,0.747917,0.338220,0.801715,0.109132
7,16,0.338220,0.801715,0.357183,0.701304,0.102186
7,20,0.338220,0.801715,0.225296,0.836393,0.118129
7,24,0.338220,0.801715,0.243270,0.747917,0.109132
7,25,0.338220,0.801715,0.263624,0.891208,0.116505
7,26,0.338220,0.801715,0.496473,0.835235,0.161764
8,9,0.595534,0.232872,0.503315,0.133748,0.135388
9,12,0.503315,0.133748,0.581450,0.028376,0.131180
