i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
10,28,0.673558,0.091710,0.536985,0.001779,0.163523
13,21,0.358590,0.990794,0.361744,0.820995,0.169829
2,10,0.566586,0.231132,0.673558,0.091710,0.175732
2,29,0.566586,0.231132,0.638757,0.071309,0.175363
2,6,0.566586,0.231132,0.538226,0.399799,0.171035
2,8,0.566586,0.231132,0.538226,0.399799,0.171035
21,27,0.361744,0.820995,0.358620,0.653551,0.167473
4,12,0.701694,0.225733,0.684020,0.385797,0.161037
4,29,0.701694,0.225733,0.638757,0.071309,0.166757
5,11,0.127164,0.272079,0.060377,0.449042,0.189147
5,18,0.127164,0.272079,0.214411,0.133744,0.163551
5,22,0.127164,0.272079,0.060377,0.449042,0.189147
7,14,0.564833,0.385944,0.745823,0.441518,0.189330
9,15,0.274020,0.761041,0.101942,0.699247,0.182838
