i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,107,0.917442,0.674237,0.981826,0.630689,0.077728
0,150,0.917442,0.674237,0.860256,0.644255,0.064569
0,151,0.917442,0.674237,0.847881,0.644289,0.075734
0,167,0.917442,0.674237,0.988019,0.662232,0.071590
0,206,0.917442,0.674237,0.908327,0.689208,0.017528
0,261,0.917442,0.674237,0.895256,0.645627,0.036204
0,268,0.917442,0.674237,0.841068,0.721052,0.089581
0,4,0.917442,0.674237,0.886527,0.742667,0.075090
0,5,0.917442,0.674237,0.830350,0.732111,0.104568
0,61,0.917442,0.674237,0.849087,0.599840,0.101031
0,79,0.917442,0.674237,0.976178,0.604328,0.091308
1,103,0.231684,0.690664,0.241439,0.673729,0.019544
1,106,0.231684,0.690664,0.181490,0.708627,0.053311
1,110,0.231684,0.690664,0.236292,0.796483,0.105920
1,120,0.231684,0.690664,0.211257,0.784654,0.096184
1,127,0.231684,0.690664,0.184105,0.680840,0.048582
1,132,0.231684,0.690664,0.325068,0.734846,0.103309
1,147,0.231684,0.690664,0.278584,0.675068,0.049426
1,152,0.231684,0.690664,0.217707,0.597747,0.093963
1,173,0.231684,0.690664,0.187420,0.768547,0.089583
1,66,0.231684,0.690664,0.330010,0.654716,0.104691
1,89,0.231684,0.690664,0.234415,0.710272,0.019797
1,97,0.231684,0.690664,0.161843,0.632169,0.091101
10,100,0.460880,0.112083,0.434269,0.175832,0.069080
10,194,0.460880,0.112083,0.487535,0.171158,0.064811
10,290,0.460880,0.112083,0.538566,0.122926,0.078439
10,299,0.460880,0.112083,0.439680,0.079353,0.038996
10,76,0.460880,0.112083,0.367987,0.066510,0.103469
100,143,0.434269,0.175832,0.380799,0.191388,0.055687
100,157,0.434269,0.175832,0.414797,0.251253,0.077894
100,194,0.434269,0.175832,0.487535,0.171158,0.053470
100,299,0.434269,0.175832,0.439680,0.079353,0.096631
101,125,0.298786,0.284682,0.287270,0.197416,0.088023
101,148,0.298786,0.284682,0.322822,0.391710,0.109694
101,155,0.298786,0.284682,0.270432,0.239368,0.053454
101,163,0.298786,0.284682,0.401100,0.294621,0.102796
101,164,0.298786,0.284682,0.311674,0.177405,0.108048
101,239,0.298786,0.284682,0.224455,0.220090,0.098474
101,243,0.298786,0.284682,0.271964,0.301199,0.031500
101,275,0.298786,0.284682,0.297318,0.270396,0.014361
101,289,0.298786,0.284682,0.313655,0.284998,0.014873
102,136,0.731473,0.944966,0.767333,0.957325,0.037929
102,140,0.731473,0.944966,0.675502,0.975923,0.063962
102,149,0.731473,0.944966,0.630336,0.968633,0.103869
102,159,0.731473,0.944966,0.648283,0.980213,0.090349
102,199,0.731473,0.944966,0.806761,0.901515,0.086926
102,240,0.731473,0.944966,0.695205,0.876709,0.077295
102,251,0.731473,0.944966,0.724339,0.960770,0.017339
102,295,0.731473,0.944966,0.753927,0.978143,0.040061
103,106,0.241439,0.673729,0.181490,0.708627,0.069367
103,113,0.241439,0.673729,0.329592,0.638861,0.094799
103,127,0.241439,0.673729,0.184105,0.680840,0.057773
103,132,0.241439,0.673729,0.325068,0.734846,0.103582
103,147,0.241439,0.673729,0.278584,0.675068,0.037169
103,152,0.241439,0.673729,0.217707,0.597747,0.079602
103,173,0.241439,0.673729,0.187420,0.768547,0.109127
104,123,0.030652,0.758694,0.079215,0.820478,0.078585
104,158,0.030652,0.758694,0.070841,0.768636,0.041401
104,161,0.030652,0.758694,0.100593,0.826045,0.097098
105,132,0.353876,0.748088,0.325068,0.734846,0.031706
105,147,0.353876,0.748088,0.278584,0.675068,0.104885
105,178,0.353876,0.748088,0.445880,0.722852,0.095402
105,193,0.353876,0.748088,0.378951,0.696647,0.057227
105,283,0.353876,0.748088,0.381860,0.783717,0.045305
106,110,0.181490,0.708627,0.236292,0.796483,0.103547
106,120,0.181490,0.708627,0.211257,0.784654,0.081646
106,127,0.181490,0.708627,0.184105,0.680840,0.027910
106,147,0.181490,0.708627,0.278584,0.675068,0.102730
106,173,0.181490,0.708627,0.187420,0.768547,0.060213
107,134,0.981826,0.630689,0.897417,0.564534,0.107245
107,167,0.981826,0.630689,0.988019,0.662232,0.032145
107,206,0.981826,0.630689,0.908327,0.689208,0.093950
107,261,0.981826,0.630689,0.895256,0.645627,0.087849
108,141,0.008114,0.416941,0.075095,0.448456,0.074024
108,205,0.008114,0.416941,0.032068,0.419280,0.024068
108,228,0.008114,0.416941,0.060700,0.347196,0.087348
108,276,0.008114,0.416941,0.035184,0.418618,0.027122
109,116,0.139437,0.581509,0.121617,0.593070,0.021242
109,127,0.139437,0.581509,0.184105,0.680840,0.108912
109,152,0.139437,0.581509,0.217707,0.597747,0.079936
109,169,0.139437,0.581509,0.058617,0.554214,0.085305
109,186,0.139437,0.581509,0.115094,0.509673,0.075849
109,210,0.139437,0.581509,0.136072,0.484200,0.097367
109,249,0.139437,0.581509,0.154891,0.474648,0.107973
109,258,0.139437,0.581509,0.142438,0.491585,0.089974
109,278,0.139437,0.581509,0.162014,0.521949,0.063696
109,287,0.139437,0.581509,0.075930,0.580955,0.063510
11,110,0.241923,0.865472,0.236292,0.796483,0.069218
11,120,0.241923,0.865472,0.211257,0.784654,0.086441
11,209,0.241923,0.865472,0.234050,0.930948,0.065948
11,246,0.241923,0.865472,0.254093,0.952587,0.087962
11,267,0.241923,0.865472,0.278060,0.962381,0.103428
11,29,0.241923,0.865472,0.160717,0.900812,0.088563
11,296,0.241923,0.865472,0.246796,0.946857,0.081531
11,44,0.241923,0.865472,0.161965,0.816710,0.093654
11,56,0.241923,0.865472,0.178969,0.895246,0.069640
11,87,0.241923,0.865472,0.175715,0.921375,0.086653
110,120,0.236292,0.796483,0.211257,0.784654,0.027690
110,132,0.236292,0.796483,0.325068,0.734846,0.108076
110,173,0.236292,0.796483,0.187420,0.768547,0.056293
