i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
12,14,0.747710,0.523510,0.755893,0.342881,0.180814
14,19,0.755893,0.342881,0.589954,0.345495,0.165959
16,24,0.296299,0.126354,0.446796,0.154619,0.153129
18,21,0.585562,0.859298,0.479889,0.717244,0.177048
2,24,0.296299,0.126354,0.446796,0.154619,0.153129
2,5,0.296299,0.126354,0.135809,0.190479,0.172827
3,15,0.033837,0.848311,0.175328,0.930348,0.163554
5,16,0.135809,0.190479,0.296299,0.126354,0.172827
6,21,0.319127,0.744331,0.479889,0.717244,0.163028
6,28,0.319127,0.744331,0.370950,0.890940,0.155498
7,17,0.962015,0.007734,0.824555,0.098192,0.164553
8,12,0.677264,0.374012,0.747710,0.523510,0.165264
8,22,0.677264,0.374012,0.709604,0.551646,0.180553
