i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,3,0.443012,0.420816,0.325404,0.320697,0.154453
1,23,0.207433,0.620909,0.076975,0.605896,0.131319
10,13,0.494972,0.627195,0.640910,0.582528,0.152621
10,19,0.494972,0.627195,0.476036,0.749084,0.123351
12,15,0.814392,0.286533,0.833317,0.396488,0.111572
13,24,0.640910,0.582528,0.475027,0.637603,0.174787
16,28,0.103484,0.835019,0.195006,0.885202,0.104378
17,28,0.103484,0.835019,0.195006,0.885202,0.104378
18,28,0.110660,0.807534,0.195006,0.885202,0.114658
19,24,0.476036,0.749084,0.475027,0.637603,0.111486
19,26,0.476036,0.749084,0.402786,0.904536,0.171845
2,10,0.592003,0.710694,0.494972,0.627195,0.128012
2,13,0.592003,0.710694,0.640910,0.582528,0.137180
2,19,0.592003,0.710694,0.476036,0.749084,0.122157
2,24,0.592003,0.710694,0.475027,0.637603,0.137933
2,9,0.592003,0.710694,0.646666,0.590314,0.132210
20,25,0.206135,0.279482,0.077905,0.391636,0.170357
21,28,0.032933,0.841925,0.195006,0.885202,0.167751
3,20,0.325404,0.320697,0.206135,0.279482,0.126190
3,22,0.325404,0.320697,0.443012,0.420816,0.154453
3,27,0.325404,0.320697,0.364667,0.167891,0.157770
3,7,0.325404,0.320697,0.364667,0.167891,0.157770
8,28,0.032933,0.841925,0.195006,0.885202,0.167751
9,10,0.646666,0.590314,0.494972,0.627195,0.156113
9,24,0.646666,0.590314,0.475027,0.637603,0.178034
