i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,123,0.306236,0.139174,0.318223,0.192626,0.054779
0,15,0.306236,0.139174,0.349182,0.073298,0.078639
0,155,0.306236,0.139174,0.218690,0.192809,0.102669
0,156,0.306236,0.139174,0.254744,0.143515,0.051674
0,208,0.306236,0.139174,0.345205,0.099198,0.055828
0,213,0.306236,0.139174,0.237910,0.158201,0.070926
0,230,0.306236,0.139174,0.201431,0.126774,0.105536
0,37,0.306236,0.139174,0.381283,0.095340,0.086911
0,40,0.306236,0.139174,0.268391,0.233668,0.101791
0,60,0.306236,0.139174,0.328189,0.158847,0.029478
0,83,0.306236,0.139174,0.391238,0.171268,0.090859
0,88,0.306236,0.139174,0.259150,0.200608,0.077403
1,106,0.473823,0.825668,0.532473,0.856155,0.066101
1,12,0.473823,0.825668,0.466042,0.874221,0.049173
1,121,0.473823,0.825668,0.566824,0.848405,0.095741
1,146,0.473823,0.825668,0.493218,0.769548,0.059377
1,150,0.473823,0.825668,0.475026,0.755950,0.069727
1,211,0.473823,0.825668,0.515902,0.728447,0.105937
1,241,0.473823,0.825668,0.563225,0.798321,0.093491
1,33,0.473823,0.825668,0.414160,0.884632,0.083883
1,86,0.473823,0.825668,0.396490,0.787375,0.086294
1,96,0.473823,0.825668,0.459692,0.813787,0.018461
10,108,0.768092,0.364262,0.726920,0.293986,0.081448
10,148,0.768092,0.364262,0.825507,0.274038,0.106943
10,149,0.768092,0.364262,0.672222,0.380428,0.097223
10,179,0.768092,0.364262,0.779767,0.379066,0.018854
10,197,0.768092,0.364262,0.758459,0.442121,0.078452
10,214,0.768092,0.364262,0.743441,0.326245,0.045309
10,216,0.768092,0.364262,0.724184,0.382887,0.047695
10,35,0.768092,0.364262,0.775839,0.434013,0.070180
100,110,0.243556,0.025565,0.177718,0.017111,0.066378
100,172,0.243556,0.025565,0.188824,0.071138,0.071221
100,230,0.243556,0.025565,0.201431,0.126774,0.109625
