i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,106,0.423324,0.005696,0.402156,0.014195,0.022811
0,30,0.423324,0.005696,0.476531,0.051338,0.070101
0,85,0.423324,0.005696,0.365573,0.001746,0.057886
1,101,0.872041,0.821028,0.870023,0.853785,0.032820
1,68,0.872041,0.821028,0.912687,0.766765,0.067798
10,130,0.966057,0.915173,0.956654,0.841602,0.074169
10,35,0.966057,0.915173,0.978200,0.868703,0.048030
10,76,0.966057,0.915173,0.976168,0.869658,0.046624
100,102,0.496071,0.627769,0.481828,0.673968,0.048345
100,104,0.496071,0.627769,0.492976,0.664756,0.037117
102,104,0.481828,0.673968,0.492976,0.664756,0.014462
102,139,0.481828,0.673968,0.438613,0.734902,0.074702
108,116,0.917597,0.522867,0.938274,0.479914,0.047671
11,79,0.985377,0.139541,0.998535,0.095006,0.046438
110,124,0.628536,0.184356,0.690230,0.203396,0.064565
112,146,0.803838,0.526955,0.824373,0.561659,0.040324
113,118,0.676326,0.479812,0.604289,0.471691,0.072494
114,134,0.473962,0.184554,0.531406,0.238648,0.078904
115,131,0.140834,0.800313,0.209321,0.783660,0.070482
118,126,0.604289,0.471691,0.565727,0.450593,0.043956
118,141,0.604289,0.471691,0.588096,0.466724,0.016938
12,137,0.318173,0.505400,0.382729,0.478792,0.069824
12,148,0.318173,0.505400,0.366080,0.526335,0.052281
12,64,0.318173,0.505400,0.300327,0.513672,0.019671
12,67,0.318173,0.505400,0.312966,0.441776,0.063837
12,80,0.318173,0.505400,0.339595,0.510175,0.021947
125,149,0.093226,0.138444,0.050129,0.088092,0.066277
126,141,0.565727,0.450593,0.588096,0.466724,0.027579
13,59,0.256816,0.194379,0.264540,0.189979,0.008889
13,89,0.256816,0.194379,0.221760,0.199455,0.035422
137,138,0.382729,0.478792,0.437292,0.480678,0.054596
137,148,0.382729,0.478792,0.366080,0.526335,0.050374
139,142,0.438613,0.734902,0.388846,0.788949,0.073470
139,145,0.438613,0.734902,0.387984,0.727548,0.051160
142,145,0.388846,0.788949,0.387984,0.727548,0.061408
17,122,0.048905,0.610016,0.016036,0.572373,0.049974
17,143,0.048905,0.610016,0.120041,0.645391,0.079446
17,83,0.048905,0.610016,0.085056,0.661423,0.062845
18,109,0.774902,0.069328,0.730544,0.061775,0.044997
19,123,0.317828,0.719224,0.254181,0.689328,0.070319
19,145,0.317828,0.719224,0.387984,0.727548,0.070648
