i%0,j%1,lat.i,lon.i,lat.j,lon.j,distance
0,33,0.374079,0.417501,0.376489,0.407754,0.010041
0,43,0.374079,0.417501,0.399539,0.439893,0.033906
1,121,0.046022,0.706141,0.068149,0.729446,0.032137
1,40,0.046022,0.706141,0.084367,0.712754,0.038912
1,48,0.046022,0.706141,0.051150,0.726306,0.020807
1,7,0.046022,0.706141,0.088592,0.747788,0.059554
10,148,0.623048,0.123148,0.650217,0.149358,0.037751
10,25,0.623048,0.123148,0.604908,0.077441,0.049175
10,44,0.623048,0.123148,0.624723,0.063744,0.059427
103,105,0.882313,0.251778,0.829288,0.244202,0.053563
104,131,0.259144,0.456064,0.273376,0.499253,0.045474
11,18,0.622380,0.398635,0.612889,0.340302,0.059100
111,148,0.675346,0.169636,0.650217,0.149358,0.032290
12,77,0.676672,0.582761,0.727906,0.613223,0.059606
121,126,0.068149,0.729446,0.117097,0.715987,0.050765
121,128,0.068149,0.729446,0.056587,0.769662,0.041845
123,142,0.059277,0.327639,0.114385,0.348200,0.058819
125,137,0.103524,0.508405,0.079303,0.486297,0.032794
126,134,0.117097,0.715987,0.156724,0.681281,0.052677
13,54,0.878039,0.991212,0.860985,0.961172,0.034543
132,140,0.185541,0.935726,0.211852,0.912089,0.035369
139,149,0.217303,0.360674,0.202285,0.373374,0.019668
14,35,0.637392,0.830769,0.654145,0.842409,0.020399
14,76,0.637392,0.830769,0.668001,0.865608,0.046374
16,103,0.886656,0.292808,0.882313,0.251778,0.041260
17,102,0.503817,0.417527,0.530691,0.368215,0.056160
17,22,0.503817,0.417527,0.557701,0.407147,0.054875
17,72,0.503817,0.417527,0.484412,0.428205,0.022149
17,85,0.503817,0.417527,0.473245,0.420715,0.030738
19,66,0.769045,0.263175,0.726017,0.286691,0.049034
19,91,0.769045,0.263175,0.740658,0.293212,0.041329
2,137,0.081475,0.441128,0.079303,0.486297,0.045222
20,123,0.034065,0.337138,0.059277,0.327639,0.026941
20,29,0.034065,0.337138,0.082857,0.311404,0.055162
