t,failure,success,charging,skip
0,0,0,0,1000
1,0,0,0,1000
2,0,0,0,1000
3,0,0,0,1000
4,0,0,0,1000
5,0,0,0,1000
6,0,0,0,1000
7,6,61,61,939
8,8,45,106,894
9,1,13,119,881
10,3,13,131,869
11,2,19,150,850
12,3,21,171,829
13,0,21,192,808
14,1,28,159,841
15,2,25,182,818
16,3,20,149,851
17,2,17,157,843
18,4,14,153,847
19,0,12,145,855
20,2,19,142,858
21,0,17,138,862
22,1,21,130,870
23,3,21,126,874
24,2,11,123,877
25,7,17,121,879
26,2,16,130,870
27,1,23,134,866
28,0,19,134,866
29,2,22,134,866
30,2,17,135,865
31,5,16,132,868
32,1,21,137,863
33,5,16,139,861
34,0,24,146,854
35,3,16,136,864
36,1,18,132,868
37,3,24,142,858
38,2,18,144,856
39,3,17,137,863
40,1,17,141,859
41,2,13,128,872
42,1,22,132,868
43,2,19,135,865
44,2,17,127,873
45,3,19,132,868
46,0,20,133,867
47,1,23,141,859
48,5,14,139,861
49,3,17,138,862
50,4,20,140,860
51,2,16,135,865
52,2,22,143,857
53,2,19,139,861
54,0,24,136,864
55,2,21,145,855
56,0,18,145,855
57,2,20,147,853
58,2,16,147,853
59,2,15,140,860
60,2,20,139,861
61,2,18,136,864
62,0,19,130,870
63,2,21,136,864
64,2,12,127,873
65,3,16,127,873
66,2,18,128,872
67,4,22,134,866
68,0,17,130,870
69,1,14,125,875
70,2,21,131,869
71,2,22,133,867
72,1,11,133,867
73,5,13,123,877
74,2,10,113,887
75,1,20,115,885
76,1,13,113,887
77,0,20,115,885
78,1,15,111,889
79,4,21,116,884
80,1,22,129,871
81,7,21,135,865
82,2,28,148,852
83,3,20,153,847
84,0,16,151,849
85,3,10,140,860
86,7,24,149,851
87,2,26,155,845
88,2,14,145,855
89,3,11,131,869
90,0,24,133,867
91,0,18,128,872
92,5,20,137,863
93,4,21,138,862
94,2,15,135,865
95,2,19,133,867
96,3,18,138,862
97,1,15,135,865
98,2,18,131,869
99,3,14,126,874
100,2,17,123,877
101,1,21,126,874
102,2,25,133,867
103,2,23,136,864
104,0,24,146,854
105,5,19,148,852
106,3,17,152,848
107,2,12,145,855
108,3,20,141,859
109,1,18,142,858
110,0,19,138,862
111,2,16,125,875
112,3,20,126,874
113,4,11,125,875
114,5,21,130,870
115,4,25,138,862
116,4,15,131,869
117,1,18,133,867
118,4,17,132,868
119,3,15,125,875
120,2,25,139,861
121,2,16,141,859
122,3,17,136,864
123,2,13,125,875
124,1,21,130,870
125,2,17,129,871
126,0,22,136,864
127,2,19,131,869
128,4,21,137,863
129,2,15,134,866
130,0,10,131,869
131,0,26,135,865
132,1,16,138,862
133,2,20,134,866
134,1,21,132,868
135,1,15,128,872
136,2,12,128,872
137,2,17,131,869
138,1,24,138,862
139,2,11,126,874
140,0,24,127,873
141,1,15,126,874
142,2,19,126,874
143,1,15,131,869
144,1,21,136,864
145,2,14,126,874
146,0,27,139,861
147,3,22,141,859
148,0,12,134,866
149,4,17,134,866
150,3,10,128,872
151,1,16,126,874
152,3,18,127,873
153,0,17,118,882
154,1,12,109,891
155,5,15,108,892
156,2,17,111,889
157,1,18,117,883
158,3,20,125,875
159,4,15,121,879
160,4,24,130,870
161,2,12,125,875
162,2,25,135,865
163,2,16,139,861
164,1,16,137,863
165,2,14,132,868
166,1,17,134,866
167,1,14,126,874
168,4,15,121,879
169,1,25,128,872
170,0,18,123,877
171,1,19,128,872
172,2,19,132,868
173,2,19,132,868
174,2,18,137,863
175,2,21,143,857
176,0,19,142,858
177,3,21,144,856
178,3,19,143,857
179,2,14,136,864
180,2,18,136,864
181,2,16,133,867
182,1,14,127,873
183,4,22,131,869
184,1,17,126,874
185,2,20,128,872
186,4,22,134,866
187,0,19,139,861
188,2,15,137,863
189,2,21,138,862
190,4,16,140,860
191,4,16,137,863
192,2,17,127,873
193,3,19,126,874
194,0,18,130,870
195,4,20,131,869
196,2,13,127,873
197,3,11,117,883
198,1,17,121,879
199,1,22,126,874
200,3,12,121,879
201,1,14,112,888
202,4,21,119,881
203,1,18,124,876
204,3,19,126,874
205,1,24,132,868
206,2,24,140,860
207,6,12,135,865
208,2,16,140,860
209,5,20,143,857
210,2,7,127,873
211,2,21,133,867
212,0,18,132,868
213,5,15,116,884
214,5,19,117,883
215,4,19,123,877
216,2,19,125,875
217,1,17,130,870
218,3,18,132,868
219,0,15,129,871
220,4,18,133,867
221,4,24,138,862
222,1,18,138,862
223,2,15,136,864
224,3,12,130,870
225,3,23,135,865
226,0,16,132,868
227,0,22,131,869
228,3,19,132,868
229,1,17,127,873
230,3,18,134,866
231,5,21,138,862
