t,failure,success,charging,skip
0,0,0,0,1000
1,0,0,0,1000
2,0,0,0,1000
3,0,0,0,1000
4,0,0,0,1000
5,0,0,0,1000
6,0,0,0,1000
7,14,121,121,879
8,39,60,181,819
9,19,15,196,804
10,20,20,215,785
11,27,11,226,774
12,29,15,240,760
13,0,46,286,714
14,20,36,192,808
15,28,18,204,796
16,27,21,155,845
17,23,15,155,845
18,24,15,154,846
19,21,33,174,826
20,19,24,165,835
21,8,27,161,839
22,14,21,151,849
23,16,30,162,838
24,13,28,166,834
25,19,23,176,824
26,19,32,184,816
27,11,24,186,814
28,12,33,191,809
29,15,28,190,810
30,23,30,191,809
31,20,26,188,812
32,17,21,184,816
33,23,17,169,831
34,18,13,168,832
35,10,28,174,826
36,10,26,166,834
37,14,13,154,846
38,11,32,157,843
39,12,22,164,836
40,25,27,163,837
41,20,20,172,828
42,15,24,175,825
43,16,14,164,836
44,13,21,160,840
45,12,21,159,841
46,18,23,151,849
47,22,16,146,854
48,20,28,151,849
49,16,25,153,847
50,19,21,159,841
51,28,17,155,845
52,22,25,159,841
53,16,24,158,842
54,21,15,158,842
55,21,22,161,839
56,19,17,149,851
57,21,24,153,847
58,28,30,160,840
59,23,25,162,838
60,22,21,163,837
61,22,27,163,837
62,20,20,164,836
63,21,21,162,838
64,23,18,162,838
65,16,23,163,837
66,19,27,157,843
67,15,29,165,835
68,21,22,157,843
69,33,22,158,842
70,29,22,162,838
71,28,20,164,836
72,28,22,163,837
73,27,13,152,848
74,22,17,143,857
75,21,19,135,865
76,21,15,131,869
77,30,18,124,876
78,20,25,129,871
79,23,24,131,869
80,25,15,126,874
81,18,24,139,861
82,12,26,144,856
83,21,26,153,847
84,40,13,147,853
85,28,22,151,849
86,33,16,138,862
87,32,18,144,856
88,33,21,138,862
89,39,26,142,858
90,43,22,136,864
91,43,19,138,862
92,36,17,139,861
93,34,24,147,853
94,40,25,149,851
95,34,20,152,848
96,31,20,144,856
97,29,20,134,866
98,33,16,133,867
99,32,17,136,864
100,36,18,133,867
101,28,25,137,863
102,27,16,137,863
103,28,19,134,866
104,29,18,132,868
105,29,17,131,869
106,34,16,131,869
107,40,15,129,871
108,32,30,136,864
109,45,18,134,866
110,40,18,134,866
111,48,13,123,877
112,41,23,128,872
113,42,10,125,875
114,32,17,131,869
115,31,14,124,876
116,24,18,122,878
117,23,14,115,885
118,20,23,127,873
119,27,16,120,880
120,35,19,123,877
121,30,20,128,872
122,57,14,125,875
123,55,22,133,867
124,50,28,136,864
125,40,22,144,856
126,40,19,138,862
127,48,15,135,865
128,51,17,136,864
129,53,13,132,868
130,47,17,138,862
131,43,14,126,874
132,38,26,130,870
133,29,21,128,872
134,38,11,126,874
135,43,16,122,878
136,35,17,125,875
137,34,14,119,881
138,32,14,122,878
139,29,16,112,888
140,31,20,110,890
141,34,20,116,884
142,39,18,117,883
143,50,16,119,881
144,46,19,121,879
145,50,13,124,876
146,39,16,121,879
147,49,19,118,882
148,44,13,113,887
149,41,11,110,890
150,46,20,113,887
151,58,14,108,892
152,56,11,108,892
153,57,21,114,886
154,43,12,108,892
155,47,12,103,897
156,35,24,116,884
157,41,12,109,891
158,36,18,115,885
159,36,13,115,885
160,41,14,116,884
161,50,21,116,884
162,54,17,121,879
163,46,16,115,885
164,51,12,112,888
165,47,17,110,890
166,50,15,114,886
167,56,11,110,890
168,58,18,112,888
169,49,12,107,893
170,42,13,104,896
171,46,14,103,897
172,45,17,105,895
173,40,12,104,896
174,35,16,110,890
175,34,17,114,886
176,43,16,110,890
177,51,9,104,896
178,59,16,111,889
179,57,16,110,890
180,57,14,108,892
181,52,13,105,895
182,47,16,102,898
183,55,18,109,891
184,53,11,107,893
185,50,16,108,892
186,54,14,107,893
187,52,13,108,892
188,54,14,108,892
189,51,21,113,887
190,43,17,114,886
191,53,18,118,882
192,60,11,115,885
193,55,12,111,889
194,60,13,109,891
195,62,10,108,892
196,63,15,105,895
197,48,14,98,902
198,40,11,99,901
199,41,16,99,901
200,35,14,102,898
201,50,15,100,900
202,50,17,106,894
203,49,9,99,901
204,47,20,105,895
205,39,12,104,896
206,40,17,112,888
207,45,11,108,892
208,42,10,106,894
209,52,19,107,893
210,49,15,113,887
211,56,16,109,891
212,51,19,114,886
213,45,16,117,883
214,46,14,117,883
215,55,9,115,885
216,59,16,112,888
217,61,9,103,897
218,66,10,98,902
219,59,19,96,904
220,47,18,97,903
221,58,10,88,912
222,57,15,97,903
223,52,9,96,904
224,46,16,98,902
225,48,14,102,898
226,43,9,97,903
227,53,15,96,904
228,50,14,99,901
229,60,15,101,899
230,48,21,108,892
231,50,15,108,892
