t,failure,success,charging,skip
0,0,0,0,1000
1,0,0,0,1000
2,0,0,0,1000
3,0,0,0,1000
4,0,0,0,1000
5,0,0,0,1000
6,0,0,0,1000
7,7,64,64,936
8,7,71,135,865
9,1,31,159,841
10,16,27,179,821
11,15,36,214,786
12,40,25,231,769
13,14,61,287,713
14,53,30,239,761
15,11,64,284,716
16,40,32,218,782
17,38,20,217,783
18,27,30,218,782
19,46,26,201,799
20,46,31,193,807
21,92,36,181,819
22,109,26,156,844
23,136,29,144,856
24,197,20,125,875
25,205,13,120,880
26,241,17,118,882
27,260,23,123,877
28,300,15,110,890
29,324,27,124,876
30,357,17,115,885
31,390,12,109,891
32,412,10,102,898
33,423,15,105,895
34,438,18,107,893
35,455,13,95,905
36,461,21,92,908
37,489,13,80,920
38,517,3,71,929
39,528,4,68,932
40,541,16,74,926
41,543,14,73,927
42,574,3,62,938
43,585,8,59,941
44,592,12,61,939
45,610,6,54,946
46,629,8,57,943
47,627,12,61,939
48,638,12,59,941
49,657,8,55,945
50,665,9,56,944
51,670,6,49,951
52,686,5,46,954
53,695,3,41,959
54,701,4,38,962
55,710,7,36,964
56,726,6,33,967
57,732,7,31,969
58,745,5,31,969
59,753,5,32,968
60,761,4,33,967
61,763,2,32,968
62,770,7,35,965
63,778,6,34,966
64,787,2,30,970
65,793,7,33,967
66,802,3,30,970
67,809,0,25,975
68,816,3,26,974
69,816,3,26,974
70,821,4,25,975
71,832,1,21,979
72,837,2,19,981
73,841,1,14,986
74,847,1,14,986
75,846,2,14,986
76,849,1,12,988
77,855,2,12,988
78,857,4,13,987
79,864,0,10,990
80,868,2,12,988
81,872,0,11,989
82,872,3,13,987
83,880,1,12,988
84,885,1,12,988
85,890,0,11,989
86,893,3,12,988
87,895,3,12,988
88,903,2,14,986
89,904,2,13,987
90,906,2,13,987
91,911,0,12,988
92,916,0,12,988
93,915,2,13,987
94,920,1,11,989
95,922,2,12,988
96,924,3,10,990
97,929,1,8,992
98,933,0,8,992
99,938,1,9,991
100,939,1,9,991
101,939,0,9,991
102,938,3,11,989
103,940,1,9,991
104,943,1,9,991
105,944,0,9,991
106,944,1,9,991
107,944,2,9,991
108,942,0,9,991
109,944,0,8,992
110,945,0,8,992
111,945,1,7,993
112,944,2,8,992
113,945,2,8,992
114,946,2,9,991
115,948,0,6,994
116,951,0,6,994
117,950,1,7,993
118,952,0,7,993
119,953,0,7,993
120,956,1,7,993
121,959,0,7,993
122,961,1,7,993
123,962,1,7,993
124,961,2,7,993
125,960,1,8,992
126,959,1,9,991
127,961,0,8,992
128,961,0,7,993
129,960,2,9,991
130,962,0,8,992
131,961,2,9,991
132,963,0,6,994
133,963,0,6,994
134,967,0,6,994
135,967,0,6,994
136,967,1,6,994
137,969,0,6,994
138,970,0,6,994
139,970,0,5,995
140,970,0,5,995
141,970,0,5,995
142,970,0,5,995
143,971,0,4,996
144,972,1,5,995
145,972,1,5,995
146,973,2,6,994
147,974,0,5,995
148,975,2,7,993
149,975,0,7,993
150,975,1,8,992
151,975,0,8,992
152,976,0,8,992
153,977,2,9,991
154,979,0,9,991
155,978,1,8,992
156,978,1,8,992
157,978,0,7,993
158,978,1,8,992
159,978,0,8,992
160,978,1,9,991
161,979,0,6,994
162,981,0,6,994
163,981,0,5,995
164,982,0,5,995
165,984,0,4,996
166,984,0,4,996
167,984,0,4,996
168,985,1,5,995
169,985,0,5,995
170,985,0,5,995
171,985,0,5,995
172,986,0,5,995
173,987,0,5,995
174,988,0,5,995
175,988,0,5,995
176,988,0,4,996
177,988,0,4,996
178,988,0,4,996
179,989,0,4,996
180,988,1,5,995
181,989,0,4,996
182,989,0,4,996
183,990,0,4,996
184,989,1,5,995
185,989,1,5,995
186,989,0,5,995
187,989,0,5,995
188,990,0,5,995
189,989,0,5,995
190,989,0,5,995
191,989,0,5,995
192,990,0,4,996
193,989,0,4,996
194,991,0,4,996
195,990,1,5,995
196,990,0,4,996
197,990,0,4,996
198,989,1,5,995
199,990,0,4,996
200,991,0,4,996
201,991,0,4,996
202,990,1,5,995
203,990,0,4,996
204,991,0,4,996
205,991,0,4,996
206,992,0,4,996
207,992,0,4,996
208,991,1,5,995
209,992,0,4,996
210,992,0,4,996
211,994,0,4,996
212,994,0,4,996
213,993,0,4,996
214,993,0,4,996
215,993,0,4,996
216,994,0,4,996
217,994,0,4,996
218,994,0,4,996
219,993,1,5,995
220,994,0,4,996
221,995,0,4,996
222,995,0,4,996
223,996,0,4,996
224,997,0,4,996
225,997,0,4,996
226,997,0,4,996
227,997,0,4,996
228,998,0,4,996
229,998,0,4,996
230,998,1,5,995
231,998,0,5,995
