0,18,0,18
1,20,0,20
2,10,0,10
3,7,0,7
4,8,0,8
5,12,0,12
6,14,2,16
7,4,0,4
8,13,0,13
9,13,0,13
10,7,1,8
11,8,0,8
12,7,2,9
13,20,1,21
14,14,0,14
15,16,1,17
16,18,2,20
17,14,1,15
18,6,1,7
19,15,2,17
20,16,2,18
21,19,2,21
22,12,1,13
23,17,3,20
24,7,4,11
25,15,4,19
26,8,3,11
27,8,2,10
28,9,3,12
29,11,3,14
30,4,5,9
31,9,5,14
32,14,5,19
33,10,2,12
34,14,2,16
35,6,3,9
36,7,4,11
37,2,0,2
38,14,4,18
39,7,5,12
40,15,1,16
41,5,2,7
42,10,5,15
43,19,2,21
44,18,4,22
45,7,3,10
46,9,5,14
47,9,6,15
48,3,2,5
49,6,3,9
50,8,6,14
51,10,6,16
52,15,6,21
53,6,4,10
54,7,6,13
55,7,4,11
56,12,7,19
57,12,6,18
58,5,5,10
59,9,1,10
60,6,4,10
61,9,10,19
62,10,7,17
63,11,3,14
64,12,9,21
65,9,4,13
66,10,1,11
67,4,6,10
68,5,9,14
69,8,8,16
70,6,1,7
71,8,6,14
72,9,10,19
73,6,11,17
74,2,8,10
75,3,11,14
76,2,4,6
77,5,9,14
78,10,6,16
79,7,6,13
80,6,8,14
81,5,6,11
82,4,12,16
83,9,13,22
84,9,5,14
85,8,10,18
86,2,7,9
87,5,9,14
88,5,14,19
89,4,14,18
90,7,10,17
91,4,8,12
92,3,5,8
93,2,10,12
94,9,3,12
95,2,8,10
96,3,2,5
97,4,15,19
98,8,5,13
99,3,8,11
100,6,7,13
101,5,5,10
102,9,11,20
103,10,10,20
104,4,10,14
105,8,14,22
106,6,8,14
107,3,3,6
108,1,9,10
109,5,11,16
110,2,9,11
111,3,10,13
112,1,5,6
113,3,4,7
114,6,10,16
115,3,7,10
116,3,19,22
117,4,10,14
118,4,10,14
119,3,4,7
120,4,9,13
121,3,10,13
122,1,9,10
123,3,4,7
124,1,8,9
125,5,14,19
126,1,12,13
127,3,13,16
128,0,8,8
129,2,14,16
130,0,11,11
131,5,15,20
132,4,17,21
133,1,20,21
134,1,13,14
135,0,15,15
136,2,15,17
137,1,11,12
138,0,9,9
139,0,13,13
140,0,11,11
141,2,16,18
142,1,6,7
143,1,17,18
144,0,14,14
145,1,15,16
146,1,17,18
147,0,11,11
148,0,13,13
149,0,21,21
