t,failure,success,charging,skip
0,0,0,0,1000
1,0,0,0,1000
2,0,0,0,1000
3,0,0,0,1000
4,0,0,0,1000
5,0,0,0,1000
6,0,0,0,1000
7,0,191,191,809
8,9,182,373,627
9,9,55,428,572
10,5,65,485,515
11,7,44,520,480
12,4,49,564,436
13,0,46,603,397
14,3,51,459,541
15,0,46,489,511
16,0,43,337,663
17,0,28,319,681
18,0,31,298,702
19,0,39,303,697
20,0,24,277,723
21,21,148,382,618
22,0,53,389,611
23,1,58,383,617
24,37,153,500,500
25,10,88,558,442
26,3,111,598,402
27,0,65,620,380
28,0,67,529,471
29,0,47,547,453
30,4,45,536,464
31,0,37,537,463
32,8,37,410,590
33,1,39,406,594
34,0,36,330,670
35,6,158,422,578
36,1,46,403,597
37,10,52,413,587
38,7,44,413,587
39,4,60,424,576
40,25,148,534,466
41,0,79,581,419
42,16,115,513,487
43,6,67,536,464
44,11,62,534,466
45,3,47,541,459
46,5,61,552,448
47,0,48,543,457
48,0,39,432,568
49,0,158,541,459
50,0,47,466,534
51,8,52,466,534
52,5,48,455,545
53,9,53,460,540
54,4,41,453,547
55,0,61,465,535
56,3,144,436,564
57,1,53,447,553
58,26,94,477,523
59,0,80,514,486
60,26,62,519,481
61,5,42,517,483
62,4,58,526,474
63,17,158,633,367
64,0,70,555,445
65,4,70,565,435
66,3,53,524,476
67,1,54,522,478
68,0,41,487,513
69,0,52,502,498
70,0,33,370,630
71,0,45,365,635
72,0,136,423,577
73,0,44,419,581
74,13,80,443,557
75,0,60,463,537
76,8,83,489,511
77,26,128,571,429
78,9,84,618,382
79,1,100,663,337
80,1,65,582,418
81,7,60,589,411
82,8,44,559,441
83,0,60,564,436
84,0,52,431,569
85,0,48,431,569
86,0,25,350,650
87,0,39,336,664
88,9,127,394,606
89,10,36,392,608
90,7,82,419,581
91,15,140,503,497
92,36,88,537,463
93,40,90,577,423
94,16,107,644,356
95,0,120,688,312
96,0,89,615,385
97,5,56,624,376
98,0,55,519,481
99,1,45,505,495
100,3,35,431,569
101,1,45,427,573
102,0,28,363,637
103,0,31,340,660
104,1,123,364,636
105,17,104,423,577
106,19,82,462,538
107,14,93,513,487
108,14,96,555,445
109,14,87,582,418
110,20,71,622,378
111,8,105,675,325
112,7,105,567,433
113,5,53,569,431
114,17,39,484,516
115,7,50,487,513
116,15,42,413,587
117,2,53,413,587
118,0,37,361,639
119,0,114,392,608
120,36,96,402,598
121,30,80,460,540
122,8,117,512,488
123,26,76,533,467
124,12,110,589,411
125,13,94,610,390
126,32,65,560,440
127,10,96,610,390
128,21,77,539,461
129,27,33,517,483
130,19,67,478,522
131,6,70,477,523
132,6,70,391,609
133,27,98,441,559
134,2,53,427,573
135,20,84,426,574
136,14,124,480,520
137,9,78,499,501
138,17,82,531,469
139,22,87,570,430
140,30,98,542,458
141,12,71,566,434
142,13,79,552,448
143,25,57,534,466
144,24,80,488,512
145,0,83,517,483
146,11,70,436,564
147,9,100,476,524
148,16,58,436,564
149,9,90,482,518
150,6,55,472,528
151,4,85,508,492
152,17,73,495,505
153,22,73,513,487
154,22,96,510,490
155,12,77,519,481
156,10,110,515,485
157,7,46,494,506
158,18,58,471,529
159,1,71,497,503
160,5,88,469,531
161,13,88,513,487
162,15,47,477,523
163,15,92,518,482
164,14,76,493,507
165,3,103,551,449
166,2,56,520,480
167,8,76,526,474
168,24,65,470,530
169,11,65,491,509
170,36,64,464,536
171,42,38,436,564
172,45,90,430,570
173,7,97,458,542
174,20,113,444,556
175,18,126,495,505
176,35,91,480,520
177,28,101,532,468
178,27,69,540,460
179,9,111,606,394
180,9,83,574,426
181,10,106,606,394
182,5,84,543,457
183,8,60,542,458
184,21,47,473,527
185,3,41,453,547
186,23,49,394,606
187,13,66,403,597
188,30,93,393,607
189,22,93,432,568
190,41,72,408,592
191,40,108,454,546
192,35,121,504,496
193,44,97,560,440
194,32,78,573,427
195,12,119,615,385
196,32,88,538,462
197,35,95,558,442
198,39,104,533,467
199,17,81,539,461
200,44,46,425,575
201,27,74,427,573
202,48,64,398,602
203,35,103,430,570
204,43,97,438,562
205,53,94,468,532
206,41,120,464,536
207,66,102,505,495
208,47,121,543,457
209,41,121,583,417
210,49,105,545,455
211,34,108,584,416
212,45,80,535,465
213,12,86,544,456
214,43,89,496,504
215,25,90,507,493
216,44,58,422,578
217,59,71,427,573
218,40,85,412,588
219,15,126,454,546
220,61,100,436,564
221,64,120,500,500
222,45,104,478,522
223,52,103,498,502
224,70,100,509,491
225,79,80,525,475
226,73,102,539,461
227,30,131,556,444
228,31,144,507,493
229,25,126,505,495
230,58,107,461,539
231,48,109,491,509
