t,failure,success,charging,skip
0,0,0,0,1000
1,0,0,0,1000
2,0,0,0,1000
3,0,0,0,1000
4,0,0,0,1000
5,0,0,0,1000
6,0,0,0,1000
7,22,108,108,892
8,27,124,232,768
9,6,74,287,713
10,13,69,330,670
11,27,51,375,625
12,21,74,439,561
13,19,84,496,504
14,56,41,410,590
15,54,53,454,546
16,74,43,341,659
17,71,51,346,654
18,88,40,295,705
19,95,38,275,725
20,94,42,263,737
21,148,94,286,714
22,163,33,265,735
23,201,33,244,756
24,259,91,293,707
25,280,33,286,714
26,322,43,286,714
27,361,23,277,723
28,383,19,216,784
29,427,11,216,784
30,454,16,215,785
31,483,14,218,782
32,496,26,168,832
33,507,24,153,847
34,530,16,132,868
35,540,75,185,815
36,551,10,184,816
37,555,19,191,809
38,559,12,187,813
39,548,23,195,805
40,560,92,254,746
41,585,19,251,749
42,597,24,194,806
43,599,14,196,804
44,590,12,191,809
45,590,11,187,813
46,592,15,194,806
47,597,13,193,807
48,615,13,126,874
49,624,73,179,821
50,607,38,199,801
51,622,22,189,811
52,623,13,191,809
53,614,11,191,809
54,611,13,190,810
55,611,13,188,812
56,612,82,194,806
57,613,15,198,802
58,616,19,189,811
59,614,29,200,800
60,617,11,187,813
61,615,9,180,820
62,615,16,185,815
63,615,79,250,750
64,615,13,187,813
65,615,18,189,811
66,601,39,209,791
67,619,15,196,804
68,629,15,202,798
69,631,14,204,796
70,631,12,137,863
71,631,8,128,872
72,631,77,185,815
73,631,15,185,815
74,633,18,182,818
75,646,13,175,825
76,646,12,174,826
77,648,73,232,768
78,649,16,242,758
79,646,29,260,740
80,646,20,201,799
81,646,11,197,803
82,646,26,207,793
83,646,18,209,791
84,646,14,148,852
85,646,9,146,854
86,647,7,132,868
87,647,8,117,883
88,647,76,177,823
89,647,13,174,826
90,647,19,169,831
91,642,74,224,776
92,635,16,232,768
93,633,25,242,758
94,633,20,254,746
95,633,19,265,735
96,633,21,212,788
97,619,28,224,776
98,633,25,158,842
99,633,13,155,845
100,633,9,140,860
101,633,9,133,867
102,633,6,124,876
103,633,6,106,894
104,637,73,160,840
105,641,74,219,781
106,647,27,223,777
107,647,33,238,762
108,647,17,247,753
109,647,12,250,750
110,647,20,266,734
111,647,22,279,721
112,647,20,172,828
113,647,9,165,835
114,647,20,145,855
115,647,13,136,864
116,647,8,131,869
117,647,7,122,878
118,647,7,111,889
119,647,63,151,849
120,641,67,204,796
121,633,39,233,767
122,633,35,243,757
123,633,18,248,752
124,633,17,259,741
125,633,14,263,737
126,619,33,235,765
127,633,17,229,771
128,633,15,160,840
129,633,9,147,853
130,633,19,135,865
131,633,11,124,876
132,633,9,118,882
133,633,64,167,833
134,635,7,161,839
135,647,26,169,831
136,647,73,228,772
137,647,18,237,763
138,647,35,255,745
139,647,20,261,739
140,647,16,214,786
141,647,9,213,787
142,647,14,203,797
143,647,17,205,795
144,647,14,150,850
145,647,7,135,865
146,647,20,122,878
147,637,68,169,831
148,633,9,168,832
149,633,27,185,815
150,633,13,185,815
151,633,11,179,821
152,635,71,238,762
153,619,36,264,736
154,633,36,210,790
155,633,15,211,789
156,639,5,190,810
157,634,14,188,812
158,633,20,193,807
159,633,16,193,807
160,633,15,139,861
161,637,64,182,818
162,647,20,172,828
163,647,31,190,810
164,647,15,198,802
165,647,12,199,801
166,647,13,198,802
167,647,13,192,808
168,647,70,193,807
169,647,15,198,802
170,654,21,182,818
171,647,22,184,816
172,635,17,183,817
173,633,6,173,827
174,633,17,179,821
175,633,73,238,762
176,633,15,189,811
177,633,27,203,797
178,619,40,220,780
179,633,16,204,796
180,633,15,207,793
181,633,14,212,788
182,633,12,153,847
183,633,8,142,858
184,633,62,172,828
185,633,15,171,829
186,635,26,175,825
187,647,13,168,832
188,647,15,170,830
189,647,63,218,782
190,647,17,229,771
191,647,36,259,741
192,647,21,216,784
193,647,12,210,790
194,647,26,215,785
195,637,18,217,783
196,633,14,162,838
197,633,9,162,838
198,633,4,132,868
199,633,8,115,885
200,633,67,165,835
201,619,27,176,824
202,633,24,162,838
203,633,70,213,787
204,633,15,220,780
205,633,26,239,761
206,633,23,256,744
207,633,21,266,734
208,633,21,225,775
209,637,14,223,777
210,647,25,170,830
211,647,13,167,833
212,647,6,141,859
213,647,9,135,865
214,647,9,125,875
215,647,6,106,894
216,635,65,152,848
217,633,70,207,793
218,633,24,212,788
219,633,33,234,766
220,633,21,247,753
221,633,11,246,754
222,619,37,279,721
223,633,23,279,721
224,633,20,180,820
225,633,9,173,827
226,633,17,149,851
227,633,13,140,860
228,633,11,134,866
229,633,7,126,874
230,635,7,112,888
231,647,63,151,849
