0,6,0,6
1,4,0,4
2,15,0,15
3,9,0,9
4,9,1,10
5,10,1,11
6,10,0,10
7,18,1,19
8,8,1,9
9,11,0,11
10,8,0,8
11,17,0,17
12,9,0,9
13,6,1,7
14,8,0,8
15,16,3,19
16,6,2,8
17,12,1,13
18,5,1,6
19,11,0,11
20,8,3,11
21,5,2,7
22,5,0,5
23,7,1,8
24,8,3,11
25,6,1,7
26,14,1,15
27,6,2,8
28,9,0,9
29,17,2,19
30,5,3,8
31,3,0,3
32,15,2,17
33,12,2,14
34,9,1,10
35,15,1,16
36,13,3,16
37,9,2,11
38,10,4,14
39,7,2,9
40,7,3,10
41,6,3,9
42,9,1,10
43,13,4,17
44,4,2,6
45,16,6,22
46,5,2,7
47,10,1,11
48,12,6,18
49,10,5,15
50,5,5,10
51,10,2,12
52,9,6,15
53,9,8,17
54,11,3,14
55,10,8,18
56,12,7,19
57,11,7,18
58,7,2,9
59,11,5,16
60,7,2,9
61,6,4,10
62,6,5,11
63,10,5,15
64,4,2,6
65,7,4,11
66,10,11,21
67,1,1,2
68,9,12,21
69,6,3,9
70,7,5,12
71,6,5,11
72,6,5,11
73,6,8,14
74,1,1,2
75,5,5,10
76,9,8,17
77,8,10,18
78,6,8,14
79,6,6,12
80,7,6,13
81,4,5,9
82,3,5,8
83,6,5,11
84,1,3,4
85,6,10,16
86,6,8,14
87,2,2,4
88,2,1,3
89,2,8,10
90,5,6,11
91,5,8,13
92,4,8,12
93,4,8,12
94,4,13,17
95,2,4,6
96,5,6,11
97,3,15,18
98,2,8,10
99,4,8,12
100,3,6,9
101,1,2,3
102,5,9,14
103,2,12,14
104,1,9,10
105,4,7,11
106,2,5,7
107,2,6,8
108,2,8,10
109,5,11,16
110,4,10,14
111,2,11,13
112,2,9,11
113,5,14,19
114,2,5,7
115,2,6,8
116,1,7,8
117,3,8,11
118,2,15,17
119,3,17,20
120,1,12,13
121,1,8,9
122,2,15,17
123,2,11,13
124,1,6,7
125,4,7,11
126,1,18,19
127,1,8,9
128,2,7,9
129,0,19,19
130,1,5,6
131,0,8,8
132,2,8,10
133,0,10,10
134,0,9,9
135,1,10,11
136,0,10,10
137,1,16,17
138,1,10,11
139,0,17,17
140,1,11,12
141,2,7,9
142,0,7,7
143,0,12,12
144,1,3,4
145,0,5,5
146,0,10,10
147,0,7,7
148,0,4,4
149,0,12,12
