0,3,1,0.067763
1,10,1,0.006654
1,16,1,0.045550
1,17,1,0.076428
1,21,1,0.054376
2,13,1,0.062514
2,19,1,0.054988
3,0,1,0.067763
3,22,1,0.070809
3,24,1,0.039580
4,14,1,0.072398
4,19,1,0.060316
5,20,1,0.041312
6,12,1,0.050727
6,23,1,0.067002
7,15,1,0.056268
8,13,1,0.043388
9,11,1,0.075410
9,14,1,0.027990
10,1,1,0.006654
10,16,1,0.051566
10,17,1,0.074083
10,21,1,0.050895
11,9,1,0.075410
11,14,1,0.053651
11,18,1,0.044987
12,6,1,0.050727
12,15,1,0.044496
12,23,1,0.029684
13,2,1,0.062514
13,8,1,0.043388
13,21,1,0.065650
14,4,1,0.072398
14,9,1,0.027990
14,11,1,0.053651
15,7,1,0.056268
15,12,1,0.044496
15,16,1,0.073137
15,23,1,0.034554
16,1,1,0.045550
16,10,1,0.051566
16,15,1,0.073137
17,1,1,0.076428
17,10,1,0.074083
18,11,1,0.044987
19,2,1,0.054988
19,4,1,0.060316
19,24,1,0.060165
20,5,1,0.041312
20,22,1,0.061542
21,1,1,0.054376
21,10,1,0.050895
21,13,1,0.065650
22,3,1,0.070809
22,20,1,0.061542
23,6,1,0.067002
23,12,1,0.029684
23,15,1,0.034554
24,3,1,0.039580
24,19,1,0.060165
